2025-10-18 23:26:23,820 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:23,921 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:24,021 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:24,122 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:24,223 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:24,324 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:24,424 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:24,525 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:24,626 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:24,727 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:24,827 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:24,928 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:25,029 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:25,129 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:25,230 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:25,331 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:25,432 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:25,533 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:25,634 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:25,735 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:25,835 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:25,936 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:26,037 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:26,137 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:26,238 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:26,339 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:26,440 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:26,541 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:26,642 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:26,743 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:26,844 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:26,945 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:27,046 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:27,147 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:27,248 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:27,349 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:27,450 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:27,551 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:27,652 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:27,753 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:27,854 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:27,955 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:28,056 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:28,157 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:28,258 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:28,359 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:28,460 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:28,561 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:28,662 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:28,763 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:28,864 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:28,964 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:29,065 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:29,167 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:29,268 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:29,369 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:29,470 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:29,571 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:29,672 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:29,773 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:29,873 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:29,975 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:30,075 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:30,177 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:30,278 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:30,379 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:30,479 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:30,580 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:30,682 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:30,783 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:30,884 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:30,985 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:31,086 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:31,186 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:31,287 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:31,388 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:31,490 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:31,591 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:31,692 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:31,792 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:31,893 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:31,994 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:32,095 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:32,197 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:32,297 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:32,398 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:32,499 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:32,600 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:32,701 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:32,802 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:32,903 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:33,004 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:33,105 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:33,206 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:33,307 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:33,408 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:33,509 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:33,610 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:33,711 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:33,813 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:33,914 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:34,015 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:34,116 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:34,217 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:34,318 | WARNING | collector | Kare alınamadı. 100ms bekle.
